FILENAME:	2369_1069_1127
TOPIC#:		321
DATE:		910401
TRANSCRIBER:	PMC
DIFFICULTY:	3
TOPICALITY:	1
NATURALNESS:	1
ECHO_FROM_B:	3
ECHO_FROM_A:	3
STATIC_ON_A:	2
STATIC_ON_B:	2
BACKGROUND_A:	3
BACKGROUND_B:	3
REMARKS:        Speakers talked over each at times.

=============================================================================

A.1:   How did you first get involved in camping? 

B.2:   Oh, I guess, uh, it's hard tell, I guess, probably, I didn't do much as a kid because we grew up on a farm and my whole life was camping. 

A.3:   Yeah. 

B.4:   Uh, but, uh, later on, uh, later on I think when my oldest daughter got involved, she and I got involved in Indian Princesses. 

A.5:   Uh-huh. 

B.6:   We used to go up at Possum Kingdom, and do a lot of camping at Possum Kingdom. 

A.7:   Are you a native Texan? 

B.8:   No, I'm, I'm New England, Massachusetts. 

A.9:   Okay, I guess I grew up camping, my folks were big campers from day one, as far as I can remember. We grew up in southern Oklahoma. 

B.10:   Oh, okay. 

A.11:   And they were, uh, we were always at Texoma, some camping area, always either Texas or Oklahoma. 

B.12:   Uh-huh. 

A.13:   And I was involved in Boy Scouts as a young kid, and we were camping, uh, seem like every other weekend we would go somewhere. I, when they talk about the definitions of camping it kind of struck me as funny. My brother and sister-in-law live in Oregon and go camping, uh, a lot during the spring and summer and fall, but their idea of camping is a little bit different than mine, they have a fifth wheel trailer that they pull. 

B.14:   [Laughter]. 

A.15:   It has, you know, two bedrooms, a TV and microwave and stove, and all that kind of stuff, and he pulls it with a big pickup. 

B.16:   You know, that. 

A.17:   When I go camping, I usually take a sleeping bag and some cooking stuff and that's about it. 

B.18:   Yeah, that's kind of cheating isn't it? 

A.19:   Well, it's not like leaving home. 

B.20:   No. 

A.21:   When you take it with you. 

B.22:   Yeah. 

A.23:   The whole idea is to get away from it. 

B.24:   Oh, sure, speaking of, uh, southern Oklahoma, you go up into the Arbuckle Mountains at all, camping up in there? 

A.25:   I have been, and some of the boy scouts have been up in there. They have got some great hiking trails and camping areas up in there. 

B.26:   Yeah, we went up to, uh, talking about being an Indian Princesses, I was actually in it seven years, with two daughters one went through and then another. 

A.27:   Uh-huh. 

B.28:   And with my second daughter, we camped up at Camp Classen one time. 

A.29:   I'm not familiar with that one. 

B.30:   And, uh, well, it's right, uh, you know, I'm trying to think where it is, it's not too far over the border, 

A.31:   Yeah. 

B.32:   and it's up in the middle of the Arbuckles, and it's near Turner Falls. 

A.33:   Oh, yeah. 

B.34:   And, uh, that is just absolutely neat, you consider how flat everything is here. 

A.35:   Well, that's a fact. 

B.36:   Absolutely beautiful country to, country to camp in. 

A.37:   Yeah, a lot of my camping was up in the Arbuckles as I was growing up. There's a place that used to be called Platte National Park, 

B.38:   Uh-huh. 

